Argomento;Numero;Cognome;Nome;Titolo;Descrizione;Prezzo;Soffietto;
Antichità greco-romane;24;Autori diversi.;;I Focei dall'Anatolia all'Oceano. ;Napoli. Macchiaroli 1982, 8°, pp. 504, con ill. n.t. Bross. edit., sovracc. a colori.;€ 15;"Triplo fascicolo CCIV-CCVII de ""La Parola del Passato""."
Antichità greco-romane;25;Autori diversi.;;La scuola eleatica.;Napoli. Macchiaroli 1988, 8°, pp. 464, con ill. n.t. Bross. edit., sovracc. a colori.;€ 15;"Volume 43 de ""La Parola del Passato""."
Antichità greco-romane;26;Batino;Sabrina.;Lo skyphos attico dall'iconografia alla funzione.;Napoli. Loffredo 2002, 8°, pp. 512, con figure e grafici n.t.;€ 15;
Antichità greco-romane;27;Bolognesi ;Giancarlo.;Studie ricerche sulle antiche traduzioni armene di testi greci. ;Alessandria. Ed. dell'Orso 2000, 8°, pp. 350.;€ 10;
Antichità greco-romane;28;Botte;Emmanuel.;Salaisons et sauces de poissons en Italie du sud et en Sicile durant l'Antiquité.;Naples. Collection du Centre Jean Berard 2009, 4°, pp. 224, con molte figure in nero e a colori n.t.;€ 20;
Antichità greco-romane;29;Canfora;Luciano.;Totalità e selezione nella storiografia classica.;Bari. Laterza 1972, 8°, pp. 164. Bross. edit., sovracc. ill.;€ 15;
Antichità greco-romane;30;Ciaceri;Emanuele. ;Storia della Magna Grecia.;"3 voll. 1, La Fondazione delle colonie greche e l'ellenizzamento di città nell'Italia antica; 2, La grande civiltà del Mezzogiorno d'Italia sviluppo, potenza ed azione politica degli stati Italioti; 3, Decadenza e fine degli stati Italioti romanizzazione del Mezzogiorno d'Italia. Napoli. Arte Tipografica 1976, 8°, pp. xiv - 402 + xvi - 486 + xii - 350.  Bross. edit. astuccio. ";€ 20;
Antichità greco-romane;31;Ciccotti;Enzo.;La guerra e la pace nel mondo antico.;A cura di Antonia Moralda. Napoli. Immanenza 2014, 8°, pp. 142.;€ 10;
Antichità greco-romane;32;Cozzo;Andrea.;Le passioni economiche nella Grecia antica.;Palermo. Sellerio 1991, 8°, pp. 138.;€ 10;
Antichità greco-romane;33;D'Acunto;Matteo.;Arte e società a Corinto nel VII secolo a.C.;Prima e ceramografia protocorinzia. Napoli. Arte Tipografica 2012, 8°, pp. 204, con 18 tavole e 43 figure in nero e a colori f.t.;€ 14;
Antichità greco-romane;34;Fumagalli;Carlo.;La vita domestica e pubblica dei Greci e dei Romani.  ;Milano. Messaggerie Pontremolesi 1989, 8°, pp. 234. Leg. edit., sovracc. ill.;€ 12;
Antichità greco-romane;35;Garzya;Antonio (a cura).;Spirito e forme nella Letteratura Bizantina. ;Napoli. Quaderni dell'Accademia Pontaniana 2006, 8°, pp. 140.;€ 10;
Antichità greco-romane;36;Gigante;Marcello.;Altre ricerche Filodemee.;Napoli. Macchiaroli 1998, 8°, pp. 192.;€ 12;
Antichità greco-romane;37;Gigante;Marcello.;Atakta. ;Contributi alla papirologia ercolanese. Napoli. Macchiaroli 1993, 8°, pp. 200.;€ 12;
Antichità greco-romane;38;Gigante;Marcello.;Ricerche Filodemee.;Seconda edizione riveduta accresciuta. Napoli. Macchiaroli 1983, 8°, pp. 308.;€ 18;
Antichità greco-romane;39;Hoffmann O., Debrunner A., Scherer A.;;Storia della lingua Greca. ;"2 voll. 1, Fino alla fine dell'epoca classica; 2, Il greco postclassico. Prefazioni di Marcello Gigante. Napoli. Macchiaroli 1969, 8°, pp. 144 + 138. ";€ 24;
Antichità greco-romane;40;Lacone;Demetrio.;La poesia. ;Napoli. Bibliopolis 1988, 8°, pp. 330.  Leg. t.t. edit., sovracc. ;€ 12;
Antichità greco-romane;41;Lepore;Ettore.;Origini e strutture della Campania antica. ;Saggio di storia etno-sociale. Bologna. Mulino 1989, 8°, pp. 264.;€ 12;
Antichità greco-romane;42;Lessing;Gotthold Ephraim.;Sofocle.;Introduzione,  traduzione e note di Gherardo Ugolini. Napoli. Bibliopolis 2003, 8°, pp. 178 con 6 ill. f.t. ;€ 10;
Antichità greco-romane;43;Levi;Mario Attilio.;La società nel mondo classico.;Torino. Eri 1966, 16°, pp. 234, ricco di tavole in nero f.t.;€ 12;
Antichità greco-romane;44;Paduano;Gianni.;Il mondo religioso della tragedia romana.;Firenze. Sansoni 1977, 16°, pp. 120.;€ 12;
Antichità greco-romane;45;Pavolini;Carlo.;La vita quotidiana a Ostia.;Roma-Bari. Laterza 1991, 8°, pp. 304, con 110 ill. nel testo. Leg. tutta tela edit., sovracc. ill. ;€ 13;
Antichità greco-romane;46;Perri;Francesco.;Dizionario di mitologia classica e di storia greco romana.;Milano. Garzanti 1968, 8°, pp. 414, con molte fig. nt.;€ 15;
Antichità greco-romane;47;Pugliese Carratelli;Giovanni.;Scritti sul mondo antico.;Europa e Asia. Espansione coloniale. Ideologie e istituzioni politiche e religiose. Napoli. Macchiaroli 1976, 8°, pp. 590.;€ 30;
Antichità greco-romane;48;Reinach;Salomon. ;Répertoire des Vases peints.;2 tomi in uno (completo). Paris, Ernest Leroux, 1899-1900. , 8°, pp. 534 - 423, con centinaia di illustrazioni n.t. Tracce d'uso nell'insieme buon esemplare.;€ 90;
Antichità greco-romane;49;Roscino;Carmela. ;L'abbigliamento nella ceramica italiota e siceliota a soggetto tragico. ;Napoli. Loffredo 2006, 8°, pp. 396, con 84 figure n.t.;€ 13;
Antichità greco-romane;50;Sciarma;Angela.;I delitti religiosi nell'immaginario greco. ;Mito e immagini. Napoli. Loffredo 2012, 8°, pp.  598.;€ 14;
Antichità greco-romane;51;Snodograss;Arnold M.;Armi ed armature dei Greci.;"Roma. ""L'Erma"" di Bretschneider 2004, 8°, pp. 198, con 62 figure nel testo. ";€ 25;
Antichità greco-romane;52;Sodano;Angelo Raffaele.;"Le sentenze ""pitagoriche"" dello pseudo-Demofilo. ";Roma. Accademia Nazionale dei Lincei 1991, 8°, pp. 148.;€ 10;
Antichità greco-romane;53;Staerman;E.M., Trofimova M.K.;La schiavitù nell'Italia imperiale. ;I - III secolo. A cura di Mario Mazza. Roma. Editori Riuniti 1982, 8°, pp. xliv - 348. ;€ 12;
Antichità greco-romane;54;Stok;Fabio.;"Prolegomeni a una nuova edizione della ""Vita Vergilii"" di Svetonio-Donato.  ";Roma. Accademia Nazionale dei Lincei 1991, 8°, pp. 262, con 8 tavole f.t.;12;
Antichità greco-romane;55;Todisco;Luigi (a cura).;La comunicazione verbale tra Greci e indigeni in Apulia nel V-IV secolo a.C.: quali elementi?;Atti del Seminario di Studi linguistici, archeologici e storici  (Bari, 30 ottobre 2012). Napoli. Loffredo 2013, 8°, pp. 96, con 17 figure n.t.;€ 8;
Antichità greco-romane;56;Vaccai;G.;Le feste di Roma antica.;Torino. Bocca 1927, 8°, pp. xxiv - 280. Bross. edit. ill. ;€ 20;
Antichità greco-romane;57;Wolf;Friedirch August.;Esposizione della Scienza antica.;A cura di Salvatore Cerasuolo. Napoli. Bibliopolis 1999, 8°, pp. 190 con 6 ill. f.t.;€ 12;
Antico Egitto;58;Arborio Mella;Federico A.;L'Egitto dei Faraoni.;Storia, civiltà, cultura. Milano. Mursia 1979, 8°, pp. 474, con 103 illustrazioni, 4 cartine nel testo e 74 illustrazioni fuori testo. ;€ 14;
Antico Egitto;59;Cottrell;Leonard. ;La vita al tempo dei Faraoni.;Milano. Baldini & Castoldi 1958, 8°, pp. 262, con 33 ill. f.t. Leg. edit., sovracc. ill. ;€ 10;
Antropologia | Folclore;60;Camporesi;Piero.;Le belle contrade.;Nascita del paesaggio italiano. Milano. Garzanti 1992, 8°, pp. 145. Bross. edit., sovracc. ill.  Prima edizione.;€ 15;
Antropologia | Folclore;61;Cirese;Alberto M.;Cultura egemonica e culture subalterne.;Rassegna degli studi sul mondo popolare tradizionale. Palermo. Palumbo 1979, 8° grande, pp. 360. Leg. edit., sovracc. ;€ 15;
Antropologia | Folclore;62;De Blasio;Abele.;Usi e costumi dei camorristi.;Prefazione di Cesare Lombroso. Napoli. Del Delfino 1973, 9°, pp. xv - 184. Intonso. Edizione numerata in 1000 esemplari. Leg. bodoniana.;€ 30;
Antropologia | Folclore;63;Del Gaudio;Giovanni.;Le varie forme della schiavitù in uso tra le popolazioni del Sudan occidentale e della Guinea superiore.;Estratto. Città del Vaticano. Tipografiia Poliglotta 1973, 8°, pp. Da 63 a 324.;€ 13;
Antropologia | Folclore;64;Di Nola;Alfonso M. ;L'arco di rovo. ;Impotenza e aggressività in due rituali del Sud. Torino. Boringhieri 1983, 8°, pp. 196, con 22 tavole nel testo.  Tracce d'uso, sottolineature a matita. ;€ 12;
Antropologia | Folclore;65;Fabian;Johannes.;Il tempo degli altri. ;La politica del tempo in antropologia. Napoli. L'Ancora del Mediterraneo 2000, 8°, pp. 220.;€ 10;
Antropologia | Folclore;66;Guidieri;Remo.;Voci da Babele.;Saggi di critica dell'antropologia. Napoli. Guida 1990, 8°, pp. 184. Bross. edit., sovracc.;€ 10;
Antropologia | Folclore;67;Kaltenbacher;Wolfgang (a cura).;Claude Lévi-Strauss nel centenario della nascita. ;Napoli. Istituto Italiano per gli Studi Filosofici 2008, 8°, pp. 166. ;€ 12;"Gli scritti di Claude Lévi-Straussapparsi su ""Diogène""."
Antropologia | Folclore;68;Lewis;Oscar.;La cultura della povertà e altri saggi di antropologia.;Bologna. Mulino 1973, 8°, pp. Xxv - 662. Leg. edit., sovracc.;€ 15;
Antropologia | Folclore;69;Lombroso Cesare,;Guglielmo Ferrero.;"La donna delinquente. La prostituta e la donna normale.
";"Quinta edizione. Ristampa della quarta rifusa ed accresciuta secondo le note postume di C. Lombroso dal Dott. Gina Lombroso. Torino. Bocca 1927, 8°, pp. 504, con 7 tavole f.t., di cui 2 più volte ripiegate.
Leg. mz. tela. Conserva la copertina originale, scritta a penna sulla copertina, per il resto ottimo esemplare.
";€ 150;
Antropologia | Folclore;70;Masucci Maria, Vanacore Mario.;;La cultura popolare nell'isola di Procida.;Rituali magici e religiosi, canti e narrativa. Napoli. Guida 1987, 8° oblungo, pp. 244, con 60 ill. fuori testo. ;€ 12;
Antropologia | Folclore;71;Mead;Margaret.;L'inverno delle more.;La parabola della mia vita. Milano. Mondadori 1977, 8°, pp. 358, con 22 ill. bn nt e ft.;€ 16;
Antropologia | Folclore;72;Montagne;Robert.;Ribelli del deserto.;Vita sociale e politica dei berberi. Napoli. A cura di Ugo Fabietti. L'Ancora 2000, 8°, pp. 102.;€ 10;
Antropologia | Folclore;73;Moravia;Sergio.;La ragione nascosta.;Scienza e filosofia nel pensiero di Claude Levi Strauss. Firenze. Sansoni 1972, 8°, pp. 412. Bross. edit., sovracc.;€ 14;
Antropologia | Folclore;74;Propp;Vladimir Ja.;I canti popolari russi.;Con una scelta di canti di Gigliola Venturi. Torino. Einaudi 1976, 8°, pp. 256.;€ 15;
Antropologia | Folclore;75;Propp;Vladimir Ja.;Morfologia della fiaba.;Con un intervento di Claude Lévi-Strauss e una replica dell'Autore. A cura di Gian Luigi Bravo. Torino. Einaudi 1976, 8°, pp. x - 230.;€ 14;
Antropologia | Folclore;76;Sasso;Gennaro.;Ernesto De Martino fra religione e filosofia. ;Napoli. Bibliopolis 2001, 8°, pp. xii + 384. Leg. t.t. edit., sovracc. ;€ 14;
Antropologia | Folclore;77;Sobrero;Alfonso M.;Il mito.;Milano. Minerva 1978, 8°, pp. 156, con molte tavole bn ft.;€ 14;
Araldica | Ordini Cavallereschi;78;Crollalanza;Goffredo di.;Enciclopedia Araldico-Cavvaleresca. ;Prontuario Nobiliare. Bologna. Forni 1999, 4°, pp. 634, con 4 tavole fuori testo e 190 stemmi n.t. Leg. edit., titoli. ;€ 80;Prontuario nobiliare che magistralmente tratta delle scienze araldico-cavalleresche. Continuatore degli studi paterni, Goffredo di Crollalanza sistematizzò in successione alfabetica la tradizione lessicale europea nei dominî dell'iconografia e simbologia araldica, di storia del mondo cavalleresco feudale e dei suoi ordini, dell'axiologia e giurisprudenza nobiliari.
Archeologia;79;11° Convegno di studi sulla Magna Grecia.;;Le genti non greche della Magna Grecia.;Taranto. Istituto per la Storia e l'Archeologia della Magna Grecia-Taranto 1982, 8°, pp.  586. ;€ 35;
Archeologia;80;19° Convegno di studi sulla Magna Grecia.;;L'Epos greco in Occidente;Taranto. Istituto per la Storia e l'Archeologia della Magna Grecia-Taranto 1980, 8°, pp.  512, con 35 tavole n.t. ;€ 30;
Archeologia;81;22° Convegno di studi sulla Magna Grecia.;;Magna Grecia e Mondo Miceneo.;Nuovi documenti. A cura di Lucia Vagnetti. Taranto. Istituto per la Storia e l'Archeologia della Magna Grecia-Taranto 1982, 8°, pp.  208, con 77 tavole f.t. ;€ 30;
